=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.03 14:43:01 =~=~=~=~=~=~=~=~=~=~=~=
2509 452 2142 -2919
2510 453 2141 -3126
2509 451 2134 -2859
2512 453 2140 -3123
2513 454 2143 -3009
2514 455 2137 -2869
2514 454 2138 -2996
2513 452 2133 -2789
2516 455 2134 -2889
2518 456 2137 -2459
2518 456 2142 -2896
2519 455 2131 -2769
2518 454 2133 -2839
2520 457 2137 -3006
2522 458 2138 -2843
2523 456 2136 -2932
2523 456 2138 -2696
2522 455 2134 -3059
2524 458 2135 -2769
2525 459 2137 -2989
2526 459 2139 -2963
2527 458 2142 -2843
2526 456 2138 -2966
2528 460 2137 -2733
2530 461 2140 -2839
2531 461 2161 -2446
2531 459 2139 -2889
2530 457 2133 -2829
2532 460 2139 -2819
2534 461 2139 -2969
2534 460 2132 -2832
2535 460 2138 -2922
2534 458 2136 -2639
2536 461 2132 -3023
2538 462 2137 -2743
2538 460 2136 -2959
2539 460 2137 -3043
2539 459 2131 -2979
2540 461 2135 -3123
2541 462 2134 -2866
2542 462 2129 -3039
2543 462 2135 -2582
2542 460 2131 -2979
2543 462 2123 -2903
2545 464 2135 -2889
2546 463 2137 -3092
2547 462 2135 -2962
2546 460 2135 -3086
2548 464 2136 -2719
2549 464 2138 -3069
2550 465 2138 -2843
2551 463 2138 -3106
2549 462 2134 -3169
2551 465 2137 -3009
2552 465 2136 -3152
2553 465 2132 -2959
2554 464 2135 -3199
2553 462 2137 -2836
2554 465 2138 -3169
2555 466 2137 -2969
2555 466 2139 -2779
2556 466 2137 -2953
2556 461 2133 -2806
2557 466 2134 -2866
2558 467 2143 -2623
2558 466 2135 -3146
2558 465 2131 -2896
2557 466 2134 -2979
2558 466 2138 -3149
2560 467 2128 -3076
2560 466 2137 -3253
2561 465 2133 -2966
2560 464 2121 -3186
2562 467 2137 -2839
2563 467 2135 -3112
2564 467 2138 -3086
2564 467 2138 -3046
2564 465 2136 -3122
2566 469 2132 -2826
2566 468 2119 -3009
2567 468 2124 -2746
2568 468 2134 -3229
2567 466 2138 -3023
2569 469 2139 -3019
2571 470 2137 -3172
2570 469 2130 -3073
2571 469 2128 -3159
2570 466 2130 -2843
2573 470 2133 -3143
2573 471 2132 -2829
2574 469 2139 -3109
2574 469 2132 -3066
2574 468 2134 -2976
2575 470 2134 -3206
2577 471 2138 -3016
2577 470 2139 -3026
2577 472 2125 -2523
2577 469 2128 -2936
2578 471 2136 -2876
2579 472 2135 -2929
2579 471 2138 -3056
2581 472 2129 -2883
2580 469 2134 -2956
2581 472 2133 -2676
2583 473 2120 -3026
2582 472 2133 -2742
2583 471 2135 -3003
2581 470 2136 -3016
2584 473 2137 -2899
2586 474 2136 -2996
2586 472 2133 -2719
2586 472 2140 -2849
2586 471 2129 -2486
2587 473 2118 -2926
2589 475 2129 -2779
2588 474 2138 -2766
2589 473 2125 -2963
2588 472 2134 -2899
2590 474 2137 -2979
2592 475 2136 -2636
2592 474 2134 -2989
2592 474 2135 -2703
2591 472 2136 -2963
2593 476 2135 -2976
2594 470 2136 -2819
2595 476 2137 -2946
2594 476 2135 -2759
2594 474 2132 -2879
2596 476 2131 -2459
2597 469 2136 -2933
2598 476 2133 -2849
2598 475 2135 -2882
2597 473 2132 -3036
2600 475 2134 -2819
2600 477 2135 -2902
2600 477 2132 -2629
2601 477 2136 -3003
2599 474 2130 -2716
2601 477 2130 -2929
2603 478 2125 -2992
2603 479 2125 -2886
2603 477 2137 -3076
2602 475 2133 -2866
2605 480 2138 -2936
2606 478 2147 -2462
2606 478 2132 -2862
2606 479 2128 -2779
2605 476 2137 -2746
2607 479 2133 -2929
2608 480 2123 -2773
2609 478 2136 -2909
2609 478 2135 -2556
2608 477 2128 -2963
2609 478 2134 -2783
2610 480 2133 -2966
2611 480 2122 -3082
2611 480 2137 -3006
2611 477 2120 -3102
2612 479 2138 -2776
2614 481 2125 -2973
2615 480 2132 -2623
2614 480 2135 -2979
2613 478 2133 -2896
2615 480 2132 -2936
2615 481 2134 -3196
2616 480 2138 -3039
2617 480 2134 -3116
2616 478 2134 -2879
2617 482 2136 -3286
2619 483 2134 -3016
2618 481 2134 -3199
2619 480 2132 -3269
2618 479 2137 -3136
2620 482 2135 -3223
2621 483 2130 -2979
2621 482 2122 -3066
2622 481 2138 -2603
2622 480 2130 -2992
2622 483 2134 -2909
2624 484 2139 -2856
2624 483 2132 -3029
2624 482 2136 -2929
2624 481 2131 -2982
2625 484 2131 -2629
2626 484 2137 -3056
2625 483 2130 -2876
2627 484 2135 -3179
2625 481 2133 -3266
2627 484 2137 -3156
2628 485 2135 -3193
2629 484 2134 -2796
2629 484 2140 -2932
2628 481 2130 -2602
2630 485 2136 -3076
2631 486 2132 -2946
2630 484 2135 -2942
2631 485 2136 -3202
2630 483 2134 -3146
2632 487 2135 -3229
2633 486 2137 -2833
2633 485 2135 -3196
2634 484 2129 -2909
2632 484 2130 -3139
2635 487 2136 -3209
2635 486 2138 -3036
2635 485 2133 -3116
2635 485 2132 -2869
2634 483 2135 -2986
2637 487 2135 -2566
2637 488 2132 -2989
2638 486 2135 -2989
2638 485 2137 -2973
2636 484 2132 -3099
2638 486 2138 -3022
2639 488 2133 -3056
2640 487 2139 -2753
